League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
05/06/2018 03:00,JP1,Hiroshima,22379657337813113839422123288363214537262931752166586978660657845533,2,0,46,6,3,3,0,5,2,0,11,0,0,0,0,0,0,0,42,6,4,2,0,6,3,0,12,4,0,0,0,0,0,0,442,3,1,1,0,0,1
05/06/2018 03:00,JP1,Kobe,10699480890510115862819528383202209775422954578987147442466341067218,0,2,54,0,0,0,0,10,0,0,12,2,0,0,1,0,0,0,58,9,4,5,0,6,4,0,16,3,0,0,2,0,0,0,4231,0,-1,0,0,1,1
05/06/2018 02:00,JP1,Shonan,21951827362008594648883536910653776723247785863029201883067385866188,1,3,46,4,3,1,0,8,2,0,8,3,0,0,0,0,0,0,52,13,8,5,0,4,2,0,16,1,0,0,4,0,0,0,352,0,1,0,0,1,-1
05/06/2018 02:00,JP1,Vegalta_Sendai,7809494096275569048641065598574690915786357635383918633229954718299,3,1,54,7,5,2,0,9,1,0,14,3,0,0,0,0,0,0,48,2,2,0,0,8,2,0,14,7,0,0,1,0,0,0,352,3,-1,1,0,0,-1
05/06/2018 01:00,JP1,Sagan_Tosu,14107688217751634115458862979298242762167742261476935255801736987466,3,1,41,5,3,2,0,7,1,0,15,2,0,0,1,0,0,0,43,6,1,5,0,4,2,0,10,1,0,1,1,0,0,0,4312,3,1,1,0,0,1
05/06/2018 01:00,JP1,Shimizu,20040564689349383462705478647281338122330893292361178846126799443330,1,3,59,5,3,2,0,6,0,0,20,1,0,0,0,0,0,0,57,6,1,5,0,8,3,0,15,0,0,0,1,0,0,0,442,0,-1,0,0,1,1
05/05/2018 05:00,JP1,Nagoya,2647000823339939494669889684486809173375737948133929462600207704981,1,1,35,3,1,2,0,7,0,0,16,1,0,0,1,0,0,0,59,6,4,2,0,11,1,0,11,4,0,0,1,0,0,0,442,1,1,0,1,0,0
05/05/2018 05:00,JP1,Yokohama_M.,16094920739936548237032227990675930372657339450634973912855699429460,1,1,65,5,2,3,0,9,1,0,17,1,0,0,0,0,0,0,41,10,4,6,0,10,2,0,11,3,0,0,1,0,0,0,433,1,-1,0,1,0,0
05/05/2018 03:00,JP1,Kashima,4196245969068186223034392365739249594166695836893574532579079780890,1,0,52,5,4,1,0,10,4,0,7,4,0,0,0,0,0,0,40,5,4,1,0,9,2,0,13,3,0,0,0,0,0,0,442,3,1,1,0,0,1
05/05/2018 03:00,JP1,Urawa,12277803513596284668678681490685672364591056843865351348739412613579,0,1,48,6,4,2,0,7,5,0,9,3,0,0,0,0,0,0,60,4,3,1,0,12,2,0,7,4,0,0,0,0,0,0,352,0,-1,0,0,1,1
05/05/2018 01:00,JP1,C-Osaka,9379043907148681469912573764471360752304545483186507996424426661232,3,1,55,5,3,2,0,6,2,0,12,2,0,0,0,0,0,0,51,6,5,1,0,8,2,0,10,3,0,0,0,0,0,0,442,3,1,1,0,0,1
05/05/2018 01:00,JP1,V-Varen_Nagasaki,14311975074565349772246006693183993773294097405175130945076537323112,1,3,45,5,2,3,0,4,4,0,10,1,0,0,0,0,0,0,49,7,4,3,0,5,1,0,11,4,0,0,1,0,0,0,3421,0,-1,0,0,1,1
05/05/2018 00:00,JP1,Kashiwa,6720371336411209397297407563383069767818270194138225536998597471820,1,2,47,2,1,1,0,5,0,0,8,2,0,0,0,0,0,0,57,6,4,2,0,5,4,0,26,4,0,0,1,0,0,0,4231,0,1,0,0,1,-1
05/05/2018 00:00,JP1,Iwata,21113602172018634849213640505188741730663865533717992988839950919223,2,1,53,5,3,2,0,9,0,0,17,0,0,0,0,0,0,0,43,8,5,3,0,10,0,0,11,4,0,0,0,0,0,0,3421,3,-1,1,0,0,-1
05/05/2018 00:00,JP1,Kawasaki_Frontale,10560245902826127973398162666475706200810874341131383835747628649601,0,2,60,5,1,4,0,6,4,0,10,2,0,0,0,0,0,0,52,3,2,1,0,8,3,0,10,4,0,0,1,0,0,0,4231,0,1,0,0,1,-1
05/05/2018 00:00,JP1,FC_Tokyo,25761376114469815702903512838621258197390868179672640189077709806268,2,0,40,3,3,0,0,6,2,0,8,1,0,0,0,0,0,0,48,5,5,0,0,11,3,0,3,2,0,0,1,0,0,0,442,3,-1,1,0,0,-1
05/05/2018 00:00,JP1,Sapporo,2241648638029914517776267486710370180234226226401216828149467567932,2,0,61,7,4,3,0,7,2,0,18,0,0,0,1,0,0,0,45,7,5,2,0,3,2,0,10,6,0,0,1,0,0,0,3421,3,1,1,0,0,1
05/05/2018 00:00,JP1,G-Osaka,25288996196467069381723074202319955899965237197458730157087625107417,0,2,39,1,0,1,0,6,1,0,10,3,0,0,0,0,0,0,55,7,6,1,0,10,1,0,14,4,0,0,0,0,0,0,4231,0,-1,0,0,1,1
