League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
04/08/2019 13:00,SWD1,Norrkoping,8002337253007482190554995196199216879037202064971080374950002412362,0,0,56,4,3,1,0,8,5,1,0,1,0,0,0,0,0,0,64,43,48,3,0,3,0,6,0,1,0,3,0,0,0,0,0,0,54,24,352,1,1,0,1,0,0
04/08/2019 13:00,SWD1,AIK,17868139147347388115793344783911259265032365026425253430375882210122,0,0,44,1,1,0,0,5,1,0,0,3,0,0,2,0,0,0,49,16,52,4,3,1,0,11,2,1,0,0,0,0,1,0,0,0,71,27,352,1,-1,0,1,0,0
04/08/2019 13:00,SWD1,Orebro,6481680710876632985093317478301285042837944178005994837307947209612,0,3,45,1,1,0,0,9,1,0,0,1,0,0,1,0,0,0,46,26,45,2,0,2,0,8,3,1,0,3,0,0,0,0,0,0,31,19,352,0,1,0,0,1,-1
04/08/2019 13:00,SWD1,Djurgarden,10666449531771754190299027072104534088317235748495486109370857075347,3,0,55,8,2,6,0,6,3,1,0,1,0,0,0,0,0,0,78,29,55,9,5,4,0,8,5,0,0,0,0,0,0,0,0,0,68,29,433,3,-1,1,0,0,-1
04/08/2019 13:00,SWD1,Sirius,8518619649542791454014715253339814985389722647692120633098928165606,3,2,52,6,4,2,0,8,1,0,0,1,0,0,0,0,0,0,76,27,41,6,2,4,0,7,2,0,0,4,0,0,0,0,0,0,45,17,343,3,1,1,0,0,1
04/08/2019 13:00,SWD1,AFC_Eskilstuna,8104840324479899351453367225710409958634839223970072805306047376565,2,3,48,2,2,0,0,6,3,0,0,1,0,0,1,0,0,0,58,24,59,6,5,1,0,4,3,1,0,2,0,0,2,0,0,0,70,38,4231,0,-1,0,0,1,1
04/07/2019 11:30,SWD1,Hammarby,19127471687672143547657268040952149073792084351924173035547866670657,1,1,56,7,5,2,0,2,4,2,0,2,0,0,0,0,0,0,0,0,52,9,2,7,0,9,3,2,0,0,0,0,3,0,0,0,60,51,442,1,1,0,1,0,0
04/07/2019 11:30,SWD1,Kalmar,12778597981302469093832244299405939543033234184047990948612638420280,1,1,44,3,3,0,0,5,1,1,0,5,0,0,0,0,0,0,0,0,48,3,0,3,0,4,1,2,0,1,0,0,3,0,0,0,54,32,352,1,-1,0,1,0,0
04/07/2019 09:00,SWD1,Goteborg,20411174050955706036945192960475241707550621295727866099974205183646,3,0,51,2,2,0,0,12,2,2,0,0,0,0,1,0,0,0,54,17,53,3,3,0,0,9,4,0,0,0,0,0,0,0,0,0,50,31,4231,3,1,1,0,0,1
04/07/2019 09:00,SWD1,Elfsborg,24480689960668744204169380355303715058365597878337004884120212055314,0,3,49,2,0,2,0,16,2,1,0,0,0,0,0,0,0,0,85,21,47,2,0,2,0,9,1,1,0,2,0,1,1,0,0,0,64,20,433,0,-1,0,0,1,1
04/07/2019 09:00,SWD1,Ostersunds,24109872346141280406031216977811303527317355822557194511162092957295,3,2,52,4,1,3,0,7,5,0,0,0,0,0,1,0,0,0,47,31,62,5,3,2,0,9,3,2,0,1,0,0,2,0,0,0,47,23,343,3,1,1,0,0,1
04/07/2019 09:00,SWD1,Falkenbergs,25753091670856095170941296606292979775386670997162793363026954254448,2,3,48,3,1,2,0,4,2,1,0,0,0,0,0,0,0,0,40,18,38,8,2,6,0,9,3,0,0,1,0,0,2,0,0,0,48,17,442,0,-1,0,0,1,1
04/06/2019 10:00,SWD1,Hacken,24017463203714998593496097649645241927480643274600717869609893597310,2,1,66,5,4,1,0,7,2,0,0,0,0,0,1,0,0,0,67,34,50,4,2,2,0,11,1,0,0,2,0,0,0,0,0,0,41,23,433,3,1,1,0,0,1
04/06/2019 10:00,SWD1,Helsingborg,23278733761713296843848361777251478954727706023127875018480510514452,1,2,34,0,0,0,0,10,3,1,0,3,0,0,1,0,0,0,48,14,50,4,3,1,0,7,5,2,0,1,0,0,1,0,0,0,64,46,4231,0,-1,0,0,1,1
04/06/2019 10:00,SWD1,Sundsvall,5397766806538714968933194251274589832476851175229542835500544508426,3,1,54,5,3,2,0,5,0,0,0,2,0,0,1,0,0,0,41,8,48,8,6,2,0,4,2,0,0,1,0,0,0,0,0,0,31,9,442,3,1,1,0,0,1
04/06/2019 10:00,SWD1,Malmo_FF,20935405712197180225445178292867286655407230775936918304611125881801,1,3,46,5,2,3,0,4,4,0,0,3,0,0,0,0,0,0,66,32,52,8,2,6,0,4,6,0,0,3,0,0,1,0,0,0,74,46,442,0,-1,0,0,1,1
